JointGstat
[-0.186  1.214  0.588 -0.618 -0.025  0.026]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.794 -0.03   0.005]
[ 0.098  1.163  0.38  -0.794 -0.03   0.005]
[-0.252  1.163  0.38  -0.794 -0.03  -1.925]
[ 6.428  0.733  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03  -1.925]
[ 5.468 -3.577 -0.76   1.846 -2.23  -3.165]
[-0.252  1.163  0.38  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[ 3.178 -0.327  0.38  -0.704 -0.03   0.005]
[-0.252  1.163  0.38  -0.794 -0.03  -1.925]
[-0.252  1.163  0.38  -0.794 -0.03  -1.925]
[-0.342  1.163  0.38  -0.794 -0.03   0.005]
[ 4.498 -1.297 -0.32  -0.094 -2.23   0.005]
[-0.252  1.163  0.38  -0.704 -0.03  -1.925]
[-0.252  1.163  0.38  -0.704 -0.03   0.005]
[ 5.988 -3.927 -0.76  -0.704 -0.03   0.005]
[-0.252  1.163  0.38  -0.794 -0.03   0.005]
[-0.252  1.163  0.38  -0.704 -0.03  -1.925]
[-0.252  1.163  0.38  -0.794 -0.03  -1.925]
[ 1.418  1.163  0.38  -0.794 -0.03   0.005]
[-0.342  1.163  0.47  -0.794 -0.03   0.005]
[ 8.718  0.113  0.38  -0.704 -1.62   0.005]
[ 1.858  1.163  0.38  -0.704 -0.03   0.005]
[ 4.148  0.993  0.56  -0.704 -0.03   0.005]
[ 1.948  0.993  0.38  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.794 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03  -1.925]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.072  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.794 -0.03   0.005]
[ 4.498 -1.297  0.47  -0.794 -0.03   0.005]
[ 0.538  1.163  0.38  -0.794 -0.03   0.005]
[ 8.368  1.163  0.38  -0.794 -0.03   0.005]
[-0.252  1.163  0.47  -0.794 -2.23  -3.165]
[-0.252  1.163  0.38  -0.794 -0.03  -1.925]
[-0.252  1.163  0.38  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03  -1.925]
[ 0.538 -0.327  0.56  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.38  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.704 -0.03   0.005]
[-0.252  1.163  0.47  -0.794 -0.03   0.005]
[-0.252  1.163  0.47  -0.794 -0.03   0.005]
